CATEGORIA_PRODUCTO,CODIGO_PRODUCTO,DESCRIPCION_PRODUCTO,PRECIO_BRUTO_PRODUCTO,IVA_PRODUCTO,PRECIO_IVA_PRODUCTO,CANTIDAD ,TIPO_ITEM
LLANTA,HK725,165/70R14 HK,"166,303",31597.57,"197,901",0,PRODUCTO
LLANTA,DL725,165/70R14 DELINTE,"147,900",28101,"176,001",5,PRODUCTO
LLANTA,KM725,165/70R14 KUMHO,"170,529",32400.51,"202,930",4,PRODUCTO
LLANTA ,CH356,165/70R14 SUNWIDE ,"201,680",38319.2,"239,999",0,PRODUCTO
LLANTA,LF373,175/65R14 LAUFENN,"158,739",30160.41,"188,899",0,PRODUCTO
LLANTA,HK373,175/65R14H735 HANKOOK,"185,966",35333.54,"221,300",2,PRODUCTO
LLANTA,HK12240601,175/70R14 HANKOOK,"214,285",40714.15,"254,999",6,PRODUCTO
LLANTA,AP078,185/60R14 AIPLUS,"110,900",21071,"131,971",4,PRODUCTO
LLANTA,TR101 ,185/60R14  TRACMAX- RADIAL,"134,453",25546.07,"159,999",1,PRODUCTO
LLANTA,LV101,185/60R14 RADIAL,"111,597",21203.43,"132,800",0,PRODUCTO
LLANTA,AT101,185/60R14 AUTOGRIP,"122,220",23221.8,"145,442",14,PRODUCTO
LLANTA,LF078 ,185/60R14  PRO4 LH41 LAUFENN,"163,782",31118.58,"194,901",0,PRODUCTO
LLANTA,KD078,185/60R14 KENDA,"189,900",36081,"225,981",8,PRODUCTO
LLANTA,KU078,185/60R14 KUMHO,"164,695",31292.05,"195,987",2,PRODUCTO
LLANTA,FK078,185/60R14 FALKEN,"184,900",35131,"220,031",6,PRODUCTO
LLANTA,DT078,185/60R14 DELINTE,"129,900",24681,"154,581",7,PRODUCTO
LLANTA,HK078,185/60R14 HANKOOK,"199,916",37984.04,"237,900",13,PRODUCTO
LLANTA,CZ078,185/60R14 CHAOYANG,"107,479",20421.01,"127,900",0,PRODUCTO
LLANTA,HK365,185/65R14 HANKOOK,"208,319",39580.61,"247,900",8,PRODUCTO
LLANTA,GL365,185/65R14 GALLANT,"117,720",22366.8,"140,087",6,PRODUCTO
LLANTA,CZ365,185/65R14 CHAOYANG RP28,"123,445",23454.55,"146,900",0,PRODUCTO
LLANTA,FK365,185/65R14 FALKEN ,"189,900",36081,"225,981",0,PRODUCTO
LLANTA,FR365,185/65R14 FULLRUN,"125,693",23881.67,"149,575",12,PRODUCTO
LLANTA,LF365,185/65R14  LAUFENN,"169,664",32236.16,"201,900",2,PRODUCTO
LLANTA,LF367,185/70R14  LAUFENN,"168,571",32028.49,"200,599",0,PRODUCTO
LLANTA,CZ367,185/70R14 RP26 CHAOYANG,"132,689",25210.91,"157,900",0,PRODUCTO
LLANTA,KM367,185/70R14 KUMHO,"168,006",31921.14,"199,927",4,PRODUCTO
LLANTA,HK367,185/70R14 H735HANKOOK,"210,840",40059.6,"250,900",0,PRODUCTO
LLANTA,CZ225,195/R14 CHAOYANG,"204,118",38782.42,"242,900",2,PRODUCTO
LLANTA,HK225,195R14  RA08 HANKOOK,"280,588",53311.72,"333,900",8,PRODUCTO
LLANTA,HK2243601-H735,195/70R14 HANKOOK,"192,352",36546.88,"228,899",4,PRODUCTO
LLANTA,HK12325441,215/75R14 RA 08 HANKOOK,"327,731",62268.89,"390,000",0,PRODUCTO
LLANTA,HK809,185/60R15 HK,"227,647",43252.93,"270,900",1,PRODUCTO
LLANTA,FR809,185/60R15 FULLRUN ,"131,331",24952.89,"156,284",4,PRODUCTO
LLANTA,CZ366,185/65R15 RP28 CHAOYANG,"137,731",26168.89,"163,900",1,PRODUCTO
LLANTA,HK366,185/65/R15 HANKOOK,"226,807",43093.33,"269,900",1,PRODUCTO
LLANTA,LF366,185/65R15 LAUFENN,"175,546",33353.74,"208,900",2,PRODUCTO
LLANTA,CZ083,185/55R15 CHAOYANG,"131,849",25051.31,"156,900",0,PRODUCTO
LLANTA,KM083,185/55R15 KUMHO,"207,289",39384.91,"246,674",4,PRODUCTO
LLANTA,ZT083,185/55R15 ZETA,"136,856",26002.64,"162,859",4,PRODUCTO
LLANTA,HK083,185/55 R15K120 HANKOOK,"223,025",42374.75,"265,400",0,PRODUCTO
LLANTA,WF366,185/65R15 VINDFORCE ,0,0,0,0,PRODUCTO
LLANTA,AT366,185/65R15 AUTOGRIP,"126,775",24087.25,"150,862",25,PRODUCTO
LLANTA,FK366,185/65R15 FALKEN,"189,900",36081,"225,981",10,PRODUCTO
LLANTA,CS366,185/65R15 COSMO,"146,900",27911,"174,811",4,PRODUCTO
LLANTA,KM366,185/65R15 KUMHO,"206,129",39164.51,"245,294",6,PRODUCTO
LLANTA,CZ121,195/65R15 CHAOYANG RP26,"158,739",30160.41,"188,899",0,PRODUCTO
LLANTA,15292,185/65R15 YOKOHAMA,"189,075",35924.25,"224,999",9,PRODUCTO
LLANTA,KD017076,195/50R15 KENDA,"189,900",36081,"225,981",4,PRODUCTO
LLANTA,GL017076,195/50R15 GALLANT,"147,742",28070.98,"175,813",6,PRODUCTO
LLANTA,HK017076,195/50/R15 HANKOOK,"184,033",34966.27,"218,999",0,PRODUCTO
LLANTA,CZ017076-RP26,195/50R15  RP26 CHAOYANG ,"142,773",27126.87,"169,900",0,PRODUCTO
LLANTA,CZ017076 SA-57,195/50R15  SA57 CHAOYANG ,"145,714",27685.66,"173,400",0,PRODUCTO
LLANTA,LF164,195/55R15 LAUFENN,"191,176",36323.44,"227,499",5,PRODUCTO
LLANTA,HK164,195/55R15 HANKOOK,"138,571",26328.49,"164,899",3,PRODUCTO
LLANTA,CH164,195/55R15  L CONFORT,"201,092",38207.48,"239,299",0,PRODUCTO
LLANTA,CZ164,195/55R15   SA 57 CHAOYANG,"141,933",26967.27,"168,900",0,PRODUCTO
LLANTA,,195/55R15 SUNFULL,"127,731",24268.89,"152,000",1,PRODUCTO
LLANTA,FK164,195/55R15 FALKEN,"179,900",34181,"214,081",4,PRODUCTO
LLANTA,KD164,195/55R15 KENDA,"189,900",36081,"225,981",10,PRODUCTO
LLANTA,GL164,195/55R15 GALLANT,"145,415",27628.85,"173,044",8,PRODUCTO
LLANTA,LF107,195/60R15 H735  LAUFENN,"192,269",36531.11,"228,800",0,PRODUCTO
LLANTA,HK107,195/60R15 H735 HANKOOK ,"246,134",46765.46,"292,899",11,PRODUCTO
LLANTA,HK121,195/65R15 HANKOOK,"289,076",54924.44,"344,000",4,PRODUCTO
LLANTA,LF121,195/65R15 LAUFENN,"199,916",37984.04,"237,900",0,PRODUCTO
LLANTA,BG121,195/65R15 BRIDGESTONE,"319,900",60781,"380,681",4,PRODUCTO
LLANTA,LF0552431,205/60R15  LAUFENN,"232,353",44147.07,"276,500",0,PRODUCTO
LLANTA,HK0552431-H735,205/60R15  HANKOOK,"265,966",50533.54,"316,500",2,PRODUCTO
LLANTA ,LF688,205/70R15 LAUFENN,"346,975",65925.25,"412,900",0,PRODUCTO
LLANTA,LF599,205/65R15 LAUFENN,"213,042",40477.98,"253,520",4,PRODUCTO
LLANTA,KM055,205/60R15 KUMHO,"262,200",49818,"312,018",2,PRODUCTO
LLANTA,DL599,205/60R15 DELINTE,"247,900",47101,"295,001",4,PRODUCTO
LLANTA,HK599,205/65R15 HANKOOK,"269,747",51251.93,"320,999",4,PRODUCTO
LLANTA,HK002,205/70R15  RF10 HANKOOK,"366,303",69597.57,"435,901",4,PRODUCTO
LLANTA,CH688,205/70R15 SUNWIDE,"307,143",58357.17,"365,500",0,PRODUCTO
LLANTA,HK688,205/70R15 HANKOOK RA08,"401,765",76335.35,"478,100",2,PRODUCTO
LLANTA,GL688,205/70R15 GALLANT,"244,766",46505.54,"291,272",4,PRODUCTO
LLANTA,DL709,215/75R15 DELINTE,"360,000",68400,"428,400",1,PRODUCTO
LLANTA,GL709,215/75R15 GALLANT,"238,776",45367.44,"284,143",4,PRODUCTO
LLANTA,HK709,215/75R15 HANKOOK,"378,908",71992.52,"450,901",4,PRODUCTO
LLANTA,CZ659,225/70R15 CHAOYANG,"273,025",51874.75,"324,900",0,PRODUCTO
LLANTA,HK659,225/70R15 PRO8 RA08 HANKOOK,"360,420",68479.8,"428,900",0,PRODUCTO
LLANTA,LF705,235/75R15 LAUFENN,"340,316",64660.04,"404,976",0,PRODUCTO
LLANTA,WY705,235/75R15 WIDEWAY,"323,169",61402.11,"384,571",4,PRODUCTO
LLANTA,HK705,235/75R15 HANKOOK,"411,681",78219.39,"489,900",5,PRODUCTO
LLANTA,KM717,195/50R16 KUMHO,"250,463",47587.97,"298,051",4,PRODUCTO
LLANTA,GL717,195/50R16 GALLANT,"165,440",31433.6,"196,874",8,PRODUCTO
LLANTA,HK717,195/50R16 HANKOOK,"269,496",51204.24,"320,700",0,PRODUCTO
LLANTA,LF003,195/50R16 PR04 LH01 LAUFENN,"190,000",36100,"226,100",2,PRODUCTO
LLANTA,HK728,185/55R16 HANKOOK,"266,741",50680.79,"317,422",4,PRODUCTO
LLANTA,HK729,195/55R16K435 HK,"283,109",53790.71,"336,900",0,PRODUCTO
LLANTA,FK729,195/55R16 FALKEN,"283,500",53865,"337,365",4,PRODUCTO
LLANTA,LF244,205/50R16VPR04 LH41 G FIT AS LAUFENN,"209,159",39740.21,"248,899",2,PRODUCTO
LLANTA,KM244,205/55R16 91V ES31 KUMHO,"237,803",45182.57,"282,986",6,PRODUCTO
LLANTA ,OV244,205/55R16 OVATION,"154,009",29261.71,"183,271",6,PRODUCTO
LLANTA,LF017079 ,205/55R16  LAUFENN,"195,714",37185.66,"232,900",0,PRODUCTO
LLANTA,HK117251,205/55R16 HANKOOK ,"391,513",74387.47,"465,900",1,PRODUCTO
LLANTA,HK017079,205/55ZR16W XL PR04 K120 HK,"284,790",54110.1,"338,900",2,PRODUCTO
LLANTA,CZ017079 RP26,205/55R16  CHAOYANG,"163,782",31118.58,"194,901",0,PRODUCTO
LLANTA,CZ017079 SA57,205/55R16  CHAOYANG,"173,865",33034.35,"206,899",0,PRODUCTO
LLANTA,15298,205/55R16 YOKOHAMA ,"226,470",43029.3,"269,499",0,PRODUCTO
LLANTA,WF017079,205/55R16 VINDORCE,"146,975",27925.25,"174,900",0,PRODUCTO
LLANTA,HK017064,205/60R16 PR4 H457 HANKOOK,"308,319",58580.61,"366,900",0,PRODUCTO
LLANTA ,KM017064,205/60R16 KUMHO,"267,244",50776.36,"318,020",4,PRODUCTO
LLANTA,17634,205/60R16 YOKOHAMA,"406,717",77276.23,"483,993",2,PRODUCTO
LLANTA ,FK017064,205/60R16 FALKEN,"389,900",74081,"463,981",4,PRODUCTO
LLANTA,DL017064,205/60R16 DELINTE,"249,900",47481,"297,381",2,PRODUCTO
LLANTA,LF017064,205/60R16HPR04 LH41 G FIT AS LAUFENN,"221,765",42135.35,"263,900",1,PRODUCTO
LLANTA,FK017065,205/70R16 FALKEN,"299,900",56981,"356,881",4,PRODUCTO
LLANTA,6.92272E+12,205/75R16 FULLRUN,"232,547",44183.93,"276,731",0,PRODUCTO
LLANTA,LF017038,215/55R16 VPR04 LH41 LAUFENN,"212,773",40426.87,"253,200",0,PRODUCTO
LLANTA,FR017038,215/55R16 FULLRUN,"205,575",39059.25,"244,634",2,PRODUCTO
LLANTA,FK720,215/60R16 FALKEN,"334,900",63631,"398,531",4,PRODUCTO
LLANTA,HK720,215/60R16 HANKOOK,"350,336",66563.84,"416,900",0,PRODUCTO
